symbol,name,exchange,spot_amount,spot_date,spot_updated_at,asset_class,category,tracking_index,listing_date,latest_date,avg_amount_20,data_rows,is_active,filter_reason,universe_source,fetched_at
159231,通用航空ETF华宝,SZ,10764056.2,2026-05-13,2026-05-13 15:34:33+08:00,A股股票,行业主题,通用航空,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
159238,沪深300增强ETF景顺,SZ,2224969.4,2026-05-13,2026-05-13 15:34:18+08:00,A股股票,宽基,沪深300增强景顺,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
159240,A500增强ETF天弘,SZ,694703.112,2026-05-13,2026-05-13 15:34:00+08:00,A股股票,宽基,A500增强,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
159241,航空航天ETF天弘,SZ,148151600.063,2026-05-13,2026-05-13 15:34:03+08:00,A股股票,行业主题,航空航天,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
159242,创业板人工智能ETF大成,SZ,68339573.606,2026-05-13,2026-05-13 15:34:21+08:00,A股股票,宽基,创业板人工智能大成,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
159243,创业板人工智能ETF招商,SZ,58232042.644,2026-05-13,2026-05-13 15:34:06+08:00,A股股票,宽基,创业板人工智能招商,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
159246,创业板人工智能ETF富国,SZ,270852882.08,2026-05-13,2026-05-13 15:34:09+08:00,A股股票,宽基,创业板人工智能,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
159247,创业板ETF汇添富,SZ,25095810.631,2026-05-13,2026-05-13 15:34:45+08:00,A股股票,宽基,创业板,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
159248,人工智能ETF万家,SZ,27389287.7,2026-05-13,2026-05-13 15:34:33+08:00,A股股票,行业主题,人工智能万家,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
159249,A500增强ETF工银,SZ,12990713.5,2026-05-13,2026-05-13 15:34:00+08:00,A股股票,宽基,A500增强工银,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
159253,银行ETF博时,SZ,5158792.919,2026-05-13,2026-05-13 15:34:24+08:00,A股股票,行业主题,银行,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
159255,通用航空ETF易方达,SZ,6313023.4,2026-05-13,2026-05-13 15:34:48+08:00,A股股票,行业主题,通用航空,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
159256,创业板软件ETF华夏,SZ,104180846.5,2026-05-13,2026-05-13 15:34:03+08:00,A股股票,宽基,创业板软件,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
159257,航空ETF汇添富,SZ,7396300.686,2026-05-13,2026-05-13 15:34:36+08:00,A股股票,行业主题,航空,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
159258,机器人ETF南方,SZ,93967927.776,2026-05-13,2026-05-13 15:34:39+08:00,A股股票,行业主题,机器人,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
159259,成长ETF易方达,SZ,399594362.094,2026-05-13,2026-05-13 15:34:06+08:00,A股股票,风格,成长,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
